id,จังหวัด,ชื่อแหล่งศิลปกรรม,ประเภทที่,ประเภทแหล่งศิลปกรรม,ภาค,อำเภอ,ตำบล,latitude,longtitude
6022,เชียงราย,พระธาตุทันใจชัยมงคล (พระธาตุดงกู่),ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,แม่ลาว,ดงมะดะ,19.7137,99.6753
6023,เชียงราย,วัดผาบ่อง,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,แม่ลาว,ดงมะดะ,19.7283,99.6893
6024,เชียงราย,วัดป่าตึง,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,แม่ลาว,ดงมะดะ,19.7309,99.7162
6025,เชียงราย,วัดร่องศาลา,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,แม่ลาว,ดงมะดะ,19.7429,99.7239
6026,เชียงราย,วัดร่องห้า,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,แม่ลาว,ดงมะดะ,19.7162,99.7161
6027,เชียงราย,วัดปงสนุก,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,ดอยหลวง,ปงน้อย,20.1131,100.0935
6028,เชียงราย,วัดห้วยไร่เก่า (ร่มแก้ว),ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,ดอยหลวง,ปงน้อย,20.0997,100.0761
6029,เชียงราย,วัดป่าอรัญญวิเวก,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,ดอยหลวง,ปงน้อย,20.0773,100.0641
6030,เชียงราย,วัดโพธิ์ทองนิมิต,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,ดอยหลวง,ปงน้อย,20.1145,100.0995
6031,เชียงราย,โบราณสถานวัดกู่เบี้ย,ประเภทที่ 4,แหล่งโบราณคดีทั้งที่ขุดค้นแล้ว และยังไม่ได้ขุดค้น โบราณวัตถุ,ภาคเหนือ,ดอยหลวง,ปงน้อย,20.1266,100.0786
6032,เชียงราย,วัดห้วยสัก,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,ดอยหลวง,หนองป่าก่อ,20.1467,100.1174
6033,เชียงราย,วัดวังเขียว,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,ดอยหลวง,หนองป่าก่อ,20.1654,100.0818
6034,เชียงราย,วัดห้วยไร่,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,ดอยหลวง,ปงน้อย,20.1079,100.0782
6035,เชียงราย,วัดแม่บง,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,ดอยหลวง,โชคชัย,20.1225,100.0993
6036,เชียงราย,วัดบ้านดอย,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,ดอยหลวง,โชคชัย,20.1277,100.1114
6037,เชียงราย,วัดป่ารวกเหนือ,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,แม่ลาว,ดงมะดะ,19.7153,99.7089
6038,เชียงราย,พระพุทธศรีไชยปราการ (หนองหลวง),ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เวียงชัย,เวียงชัย,19.8439,99.938
6039,เชียงราย,วัดป่าลัน,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,แม่ลาว,ดงมะดะ,19.7556,99.7081
6040,เชียงราย,วัดไชยราษฎร์สำราญ,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เวียงชัย,เวียงชัย,19.8855,99.9182
6041,เชียงราย,วัดยาย,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เวียงแก่น,ม่วงยาย,20.1123,100.5211
6042,เชียงราย,วัดม่วงแก้ว,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เวียงแก่น,ม่วงยาย,20.1112,100.5147
6043,เชียงราย,วัดห้วยลึก,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เวียงแก่น,ม่วงยาย,20.157,100.542
6044,เชียงราย,พระธาตุบุญทัศนีย์ศรีสองเมือง,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เวียงแก่น,ม่วงยาย,20.1509,100.5422
6045,เชียงราย,วัดดอยสันกู่ (พระธาตุ 12 ราศี),ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เวียงแก่น,หล่ายงาว,20.0917,100.4955
6046,เชียงราย,วัดแจมป๋อง,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เวียงแก่น,หล่ายงาว,20.1498,100.506
6047,เชียงราย,วัดดอน,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เวียงแก่น,ปอ,20.0104,100.4888
6048,เชียงราย,พระธาตุดอยป่ายาง,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เวียงแก่น,ปอ,20.013,100.493
6049,เชียงราย,วัดขวากเหนือ,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เวียงแก่น,ท่าข้าม,20.0562,100.507
6050,เชียงราย,วัดโล๊ะ,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เวียงแก่น,ท่าข้าม,20.0227,100.4906
6051,เชียงราย,วิหารพระเมืองแม่จัน,ประเภทที่ 1,อนุสาวรีย์ อนุสรณ์สถาน สถาน หลักเมือง,ภาคเหนือ,แม่จัน,แม่จัน,20.1471,99.8533
6052,เชียงราย,พระธาตุจอมจันทร์,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,แม่จัน,สันทราย,20.1713,99.8961
6053,เชียงราย,พระธาตุจอมสวรรค์,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,แม่จัน,จอมสวรรค์,20.1889,99.9233
6054,เชียงราย,พระธาตุดอยกู่แก้ว,ประเภทที่ 4,แหล่งโบราณคดีทั้งที่ขุดค้นแล้ว และยังไม่ได้ขุดค้น โบราณวัตถุ,ภาคเหนือ,แม่จัน,จันจว้าใต้,20.2095,99.9664
