id,จังหวัด,ชื่อแหล่งศิลปกรรม,ประเภทที่,ประเภทแหล่งศิลปกรรม,ภาค,อำเภอ,ตำบล,latitude,longtitude
1,กำแพงเพชร,วัดชีนางเกา,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองกำแพงเพชร,ในเมือง,16.4783,99.5224
2,กำแพงเพชร,กลุ่มอาคารบ้านไม้ถนนเทศาริมแม่น้ำปิง,ประเภทที่ 3,พิพิธภัณฑ์ สถาปัตยกรรม พระราชวัง,ภาคเหนือ,เมืองกำแพงเพชร,ในเมือง,16.466,99.5318
3,กำแพงเพชร,วัดกะโลทัย,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองกำแพงเพชร,ในเมือง,16.4758,99.5313
4,กำแพงเพชร,กำแพงเมือง-คูเมืองนครชุม,ประเภทที่ 5,ชุมชนโบราณ เมืองโบราณ อุทยานประวัติศาสตร์,ภาคเหนือ,เมืองกำแพงเพชร,นครชุม,16.4752,99.5116
5,กำแพงเพชร,กำแพงป้อมทุ่งเศรษฐี,ประเภทที่ 5,ชุมชนโบราณ เมืองโบราณ อุทยานประวัติศาสตร์,ภาคเหนือ,เมืองกำแพงเพชร,นครชุม,16.4511,99.5011
6,กำแพงเพชร,วัดสร้างอารมณ์,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองกำแพงเพชร,นครชุม,16.4835,99.4957
7,กำแพงเพชร,วัดบาง,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองกำแพงเพชร,ในเมือง,16.471,99.5321
8,นนทบุรี,วัดอมฤต,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคกลาง,เมืองนนทบุรี,บางไผ่,13.8387,100.4945
9,กำแพงเพชร,วัดราชพฤกษ์ศรัทธาราม (วัดหนองปลิง),ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองกำแพงเพชร,หนองปลิง,16.5086,99.5006
10,กำแพงเพชร,วัดตะแบกลาย,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองกำแพงเพชร,สระแก้ว,16.4901,99.5326
11,อ่างทอง,วัดเชิงหวาย,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคกลาง,เมืองอ่างทอง,หัวไผ่,14.5489,100.4788
12,กำแพงเพชร,วัดเจดีย์กลางทุ่ง,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองกำแพงเพชร,นครชุม,16.4644,99.5249
13,กำแพงเพชร,วัดหม่องกาเล,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองกำแพงเพชร,นครชุม,16.4676,99.5091
14,กำแพงเพชร,วัดหนองลังกา,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองกำแพงเพชร,นครชุม,16.4682,99.5111
15,กำแพงเพชร,กำแพงเมืองกำแพงเพชร,ประเภทที่ 5,ชุมชนโบราณ เมืองโบราณ อุทยานประวัติศาสตร์,ภาคเหนือ,เมืองกำแพงเพชร,ในเมือง,16.4908,99.5168
16,กำแพงเพชร,เขาตาพัน,ประเภทที่ 1,อนุสาวรีย์ อนุสรณ์สถาน สถาน หลักเมือง,ภาคเหนือ,พรานกระต่าย,เขาคีริส,16.57,99.61
17,กำแพงเพชร,เจดีย์วัดบาง,ประเภทที่ 1,อนุสาวรีย์ อนุสรณ์สถาน สถาน หลักเมือง,ภาคเหนือ,เมืองกำแพงเพชร,ในเมือง,16.473,99.5288
18,กำแพงเพชร,บ่อสามแสน,ประเภทที่ 1,อนุสาวรีย์ อนุสรณ์สถาน สถาน หลักเมือง,ภาคเหนือ,เมืองกำแพงเพชร,หนองปลิง,16.51,99.52
19,กำแพงเพชร,ประตูเจ้าอินทร์ (ป้อมเจ้าอินทร์),ประเภทที่ 1,อนุสาวรีย์ อนุสรณ์สถาน สถาน หลักเมือง,ภาคเหนือ,เมืองกำแพงเพชร,ในเมือง,16.4883,99.5151
20,กำแพงเพชร,วัดมหาธาตุ (วัดพระธาตุ),ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองกำแพงเพชร,ในเมือง,16.4876,99.5201
21,กำแพงเพชร,วัดวังพระธาตุ (วัดท้าวแสนปม),ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองกำแพงเพชร,ไตรตรึงษ์,16.3724,99.5662
22,กำแพงเพชร,เมืองไตรตรึงษ์,ประเภทที่ 5,ชุมชนโบราณ เมืองโบราณ อุทยานประวัติศาสตร์,ภาคเหนือ,เมืองกำแพงเพชร,ไตรตรึงษ์,16.373,99.567
24,กำแพงเพชร,วัดป่ากล้วย,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองกำแพงเพชร,ในเมือง,16.49,99.51
25,กำแพงเพชร,วัดพระเจดีย์ทอง,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองกำแพงเพชร,นครชุม,16.4884,99.4721
26,กำแพงเพชร,วัดมะคอก,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองกำแพงเพชร,ในเมือง,16.5076,99.5156
27,กำแพงเพชร,วัดบ่อสามแสน,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองกำแพงเพชร,หนองปลิง,16.5069,99.5205
28,กำแพงเพชร,วัดป่ามืด,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองกำแพงเพชร,หนองปลิง,16.4982,99.5143
29,กำแพงเพชร,วัดโพธิ์เตี้ย (วัดงิ้วงาม),ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,ลานกระบือ,ลานกระบือ,16.6218,99.8785
30,กำแพงเพชร,วัดซุ้มกอ,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองกำแพงเพชร,นครชุม,16.47,99.51
31,กำแพงเพชร,วัดอัมพาพนาราม,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,คลองขลุง,วังไทร,16.2181,99.6255
32,ชัยนาท,วัดพระแก้ว,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคกลาง,สรรคบุรี,แพรกศรีราชา,15.035,100.1797
33,กำแพงเพชร,วัดป่าแลง,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองกำแพงเพชร,หนองปลิง,16.4968,99.5122
34,กำแพงเพชร,วัดตะแบกคู่,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองกำแพงเพชร,หนองปลิง,16.5,99.52
35,นครนายก,วัดอินทาราม,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคตะวันออก,เมืองนครนายก,นครนายก,14.1997,101.209
36,นครปฐม,วัดสิงห์,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคตะวันตก,นครชัยศรี,ท่ากระชับ,13.7832,100.1656
37,จันทบุรี,วัดสระแก้ว,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคตะวันออก,ท่าใหม่,พลอยแหวน,12.6091,102.0574
38,กำแพงเพชร,วัดดงหวาย,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองกำแพงเพชร,สระแก้ว,16.496,99.5192
39,กำแพงเพชร,วัดรามณรงค์,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองกำแพงเพชร,หนองปลิง,16.4975,99.5108
40,กำแพงเพชร,วัดกาทึ้ง,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองกำแพงเพชร,คณฑี,16.3699,99.6479
41,กำแพงเพชร,วัดหนองพิกุล,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองกำแพงเพชร,นครชุม,16.4702,99.509
42,พระนครศรีอยุธยา,วัดมณฑป,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคกลาง,พระนครศรีอยุธยา,หัวรอ,14.3424,100.5752
43,กำแพงเพชร,วัดป่าไทรงาม,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,ไทรงาม,ไทรงาม,16.4767,99.8924
44,กำแพงเพชร,วัดศรีโยธิน,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองกำแพงเพชร,หนองปลิง,16.5294,99.5218
45,กำแพงเพชร,วัดนาคเจ็ดเศียร,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองกำแพงเพชร,หนองปลิง,16.4989,99.5121
46,กำแพงเพชร,วัดนาควัชรโสภณ (วัดช้าง),ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองกำแพงเพชร,สระแก้ว,16.4929,99.5228
47,กำแพงเพชร,วัดกำแพงงาม,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองกำแพงเพชร,หนองปลิง,16.5037,99.515
48,กำแพงเพชร,วัดฆ้องชัย,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองกำแพงเพชร,หนองปลิง,16.5004,99.5163
49,กำแพงเพชร,วัดเขาลูกรัง,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองกำแพงเพชร,ในเมือง,16.5,99.51
50,กำแพงเพชร,วัดกรุสี่ห้อง,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองกำแพงเพชร,หนองปลิง,16.5044,99.5187
51,กำแพงเพชร,วัดพระสี่อิริยาบถ,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองกำแพงเพชร,หนองปลิง,16.5013,99.5147
52,กำแพงเพชร,วัดช้างรอบ,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองกำแพงเพชร,ในเมือง,16.503,99.5097
53,กำแพงเพชร,วัดมะเคล็ด,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองกำแพงเพชร,หนองปลิง,16.5067,99.5156
54,กำแพงเพชร,วัดเจดีย์กลม,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองกำแพงเพชร,หนองปลิง,16.5025,99.5171
55,เพชรบูรณ์,วัดพระนอน,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองเพชรบูรณ์,นายม,16.2558,101.0968
56,กำแพงเพชร,วัดหมาผี,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองกำแพงเพชร,ในเมือง,16.4964,99.511
57,กำแพงเพชร,วัดเตาหม้อ,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองกำแพงเพชร,ในเมือง,16.496,99.5099
58,กำแพงเพชร,วัดริมทาง,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองกำแพงเพชร,หนองปลิง,16.5082,99.5135
59,กำแพงเพชร,วัดอาวาสน้อย,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองกำแพงเพชร,หนองปลิง,16.5118,99.5238
60,กำแพงเพชร,วัดอาวาสใหญ่,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองกำแพงเพชร,หนองปลิง,16.5081,99.5186
61,พระนครศรีอยุธยา,ป้อมเพชร,ประเภทที่ 4,แหล่งโบราณคดีทั้งที่ขุดค้นแล้ว และยังไม่ได้ขุดค้น โบราณวัตถุ,ภาคกลาง,พระนครศรีอยุธยา,หอรัตนไชย,14.3461,100.5764
62,กำแพงเพชร,ศาลหลักเมืองกำแพงเพชร,ประเภทที่ 1,อนุสาวรีย์ อนุสรณ์สถาน สถาน หลักเมือง,ภาคเหนือ,เมืองกำแพงเพชร,ในเมือง,16.4898,99.5162
63,กำแพงเพชร,วัดหนองยายช่วย,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองกำแพงเพชร,นครชุม,16.4686,99.5145
64,กำแพงเพชร,วังโบราณหรือสระมน,ประเภทที่ 1,อนุสาวรีย์ อนุสรณ์สถาน สถาน หลักเมือง,ภาคเหนือ,เมืองกำแพงเพชร,ในเมือง,16.4908,99.5168
65,กำแพงเพชร,ศาลพระอิศวร,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองกำแพงเพชร,ในเมือง,16.4871,99.5241
66,กำแพงเพชร,เมืองเก่ากำแพงเพชร,ประเภทที่ 6,เมืองเก่า เมืองประวัติศาสตร์,ภาคเหนือ,เมืองกำแพงเพชร,ในเมือง,16.4898,99.5162
67,กำแพงเพชร,นครชุม,ประเภทที่ 7,ย่านชุมชนเก่า,ภาคเหนือ,เมืองกำแพงเพชร,นครชุม,16.4834,99.4942
68,กำแพงเพชร,บ้านพรานกระต่าย,ประเภทที่ 7,ย่านชุมชนเก่า,ภาคเหนือ,พรานกระต่าย,ถ้ำกระต่ายทอง,16.6654,99.5884
69,เชียงราย,กำแพงเมืองเก่า,ประเภทที่ 5,ชุมชนโบราณ เมืองโบราณ อุทยานประวัติศาสตร์,ภาคเหนือ,เชียงแสน,เวียง,20.27,100.08
70,เชียงราย,วัดกู่สูง,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,พาน,หัวง้ม,19.5358,99.7962
71,เชียงราย,วัดพระธาตุดอยจอมแว่,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,พาน,เมืองพาน,19.5688,99.7419
72,เชียงราย,วัดพระธาตุจอมรุ้ง (จอมรุ่ง),ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,พาน,แม่เย็น,19.4274,99.7322
73,เชียงราย,วัดเทิงเสาหิน,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เทิง,เวียง,19.6773,100.2023
74,เชียงราย,วัดพระธาตุปูเต้า,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เทิง,ตับเต่า,19.72,100.2899
75,น่าน,วัดพระธาตุจอมแจ้ง,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เวียงสา,ไหล่น่าน,18.5811,100.7676
76,เชียงราย,วัดจอมทอง (วัดพระธาตุจอมทอง),ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เทิง,ปล้อง,19.6534,100.0876
77,เชียงราย,วัดพระธาตุจอมจ้อ,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เทิง,เวียง,19.6846,100.1834
79,เชียงราย,วัดพระธาตุปูล้าน,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,พญาเม็งราย,ไม้ยา,19.76,100.1254
80,เชียงราย,วัดพระธาตุปูตุง,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,พญาเม็งราย,เม็งราย,19.8147,100.1618
81,เชียงราย,วัดพระธาตุศรีมหาโพธิ์,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เทิง,เวียง,19.6893,100.1806
82,เชียงราย,วัดใหญ่หนองปลาขาว,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เทิง,เวียง,19.7454,100.1883
83,เชียงราย,ดงเวียง,ประเภทที่ 1,อนุสาวรีย์ อนุสรณ์สถาน สถาน หลักเมือง,ภาคเหนือ,เชียงของ,เวียง,20.29,100.38
84,เชียงราย,ดงเวียง,ประเภทที่ 1,อนุสาวรีย์ อนุสรณ์สถาน สถาน หลักเมือง,ภาคเหนือ,เชียงของ,สถาน,20.2,100.39
86,เชียงราย,ศาลเจ้าพ่อพญาแก้ว,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เชียงของ,เวียง,18.7532,99.9789
87,เชียงราย,หนองหล่ม,ประเภทที่ 5,ชุมชนโบราณ เมืองโบราณ อุทยานประวัติศาสตร์,ภาคเหนือ,เชียงของ,เวียง,19.8814,99.8856
88,เชียงราย,เมืองโบราณดงเวียงแก่น,ประเภทที่ 5,ชุมชนโบราณ เมืองโบราณ อุทยานประวัติศาสตร์,ภาคเหนือ,เวียงแก่น,ม่วงยาย,20.1,100.5123
89,เชียงราย,ดงสาลี่ (เนินสยาม),ประเภทที่ 1,อนุสาวรีย์ อนุสรณ์สถาน สถาน หลักเมือง,ภาคเหนือ,เวียงชัย,ผางาม,19.91,100.08
90,เชียงราย,วัดเวียงเดิม (วัดโบราณ),ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เวียงชัย,เวียงเหนือ,19.9353,99.944
91,เชียงราย,เตาเผาเครื่องถ้วยชามโบราณ,ประเภทที่ 1,อนุสาวรีย์ อนุสรณ์สถาน สถาน หลักเมือง,ภาคเหนือ,พาน,ทรายขาว,19.66,99.73
93,เชียงราย,วัดพระธาตุแก้วทันใจ,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,พาน,ดอยงาม,19.5505,99.7922
95,เชียงราย,วัดสันป่งหรือวัดมหาวัน (สะดือเมืองพาน),ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,พาน,ทานตะวัน,19.4855,99.7798
96,เชียงราย,วัดพระธาตุดงลาน,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,พาน,ทรายขาว,19.685,99.6967
98,เชียงราย,วัดพระธาตุเวียงหวาย,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,พาน,สันกลาง,19.5767,99.6918
99,เชียงราย,วัดพื้นเมือง,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,พาน,สันกลาง,19.5747,99.6974
100,เชียงราย,วัดพระหิน,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,พาน,ม่วงคำ,19.4952,99.7387
102,เชียงราย,วัดศรีรัตนดอยแก้ว,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,พาน,ม่วงคำ,19.4751,99.707
103,เชียงราย,วัดพระธาตุดอนเต้า (วัดป่าพระธาตุหลวง),ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,พาน,แม่เย็น,19.4519,99.7282
104,เชียงราย,วัดสันต้นแหน,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,พาน,แม่เย็น,19.462,99.7331
105,เชียงราย,วัดดงน้ำล้อม,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,พาน,แม่เย็น,19.4554,99.7315
106,เชียงราย,วัดแม่อ้อใน,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,พาน,แม่อ้อ,19.6857,99.8614
107,เชียงราย,วัดสันกู่,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,พาน,หัวง้ม,19.1862,99.5283
108,เชียงราย,ถ้ำพระ (วัดถ้ำพระ),ประเภทที่ 4,แหล่งโบราณคดีทั้งที่ขุดค้นแล้ว และยังไม่ได้ขุดค้น โบราณวัตถุ,ภาคเหนือ,เมืองเชียงราย,แม่ยาว,19.9175,99.7889
109,เชียงราย,แหล่งโบราณคดีถ้ำหลวงนางนอน,ประเภทที่ 4,แหล่งโบราณคดีทั้งที่ขุดค้นแล้ว และยังไม่ได้ขุดค้น โบราณวัตถุ,ภาคเหนือ,แม่สาย,โป่งผา,20.3907,99.8767
110,เชียงราย,วัดพระธาตุดอยจอมทอง,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองเชียงราย,รอบเวียง,19.9157,99.8226
111,เชียงราย,พิพิธภัณฑ์ทหารบกจังหวัดเชียงราย (บ้านจอมพล ป. พิบูลสงคราม),ประเภทที่ 3,พิพิธภัณฑ์ สถาปัตยกรรม พระราชวัง,ภาคเหนือ,เมืองเชียงราย,เวียง,19.9141,99.8247
112,เชียงราย,วัดพระสิงห์,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองเชียงราย,เวียง,19.9116,99.8302
113,เชียงราย,ศาลากลางจังหวัดเชียงราย (หลังเก่า),ประเภทที่ 3,พิพิธภัณฑ์ สถาปัตยกรรม พระราชวัง,ภาคเหนือ,เมืองเชียงราย,เวียง,19.9117,99.8315
114,เชียงราย,วัดพระแก้ว,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองเชียงราย,เวียง,19.9117,99.8277
115,เชียงราย,วัดงำเมือง (กู่พระยาเม็งราย วัดพระธาตุดอยงำเมือง),ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองเชียงราย,เวียง,19.9125,99.825
116,เชียงราย,วัดกลางเวียง,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองเชียงราย,เวียง,19.9107,99.8325
117,เชียงราย,วัดพระธาตุจอมหงส์,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เชียงแสน,เวียง,19.7259,100.2318
118,เชียงราย,เชียงแสนน้อย (เวียงปรึกษา),ประเภทที่ 5,ชุมชนโบราณ เมืองโบราณ อุทยานประวัติศาสตร์,ภาคเหนือ,เชียงแสน,เวียง,20.2426,100.1239
119,เชียงราย,เมืองเชียงแสน,ประเภทที่ 5,ชุมชนโบราณ เมืองโบราณ อุทยานประวัติศาสตร์,ภาคเหนือ,เชียงแสน,เวียง,20.2731,100.0869
120,เชียงราย,"สบรวก 1 (เวียงเกี๋ยง) 2,3",ประเภทที่ 5,ชุมชนโบราณ เมืองโบราณ อุทยานประวัติศาสตร์,ภาคเหนือ,เชียงแสน,เวียง,20.2907,100.0904
121,เชียงราย,วัดพระธาตุสองพี่น้อง (ร้าง),ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เชียงแสน,เวียง,20.2457,100.1187
122,เชียงราย,วัดแสนเมืองมา (ร้าง),ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เชียงแสน,เวียง,19.531,100.2979
123,เชียงราย,วัดพระธาตุจอมกิตติ,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เชียงแสน,เวียง,20.2861,100.0741
124,เชียงราย,วัดช้างเผือก (วัดช้างค้ำ),ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เทิง,เวียง,19.6149,100.188
125,เชียงราย,วัดพระธาตุเจดีย์หลวง,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เชียงแสน,เวียง,20.2728,100.0808
126,เชียงราย,วัดมุงเมือง,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เชียงแสน,เวียง,19.9097,99.8286
127,เชียงราย,วัดพระธาตุดอยภูเข้า (ภูข้าว ปูเข้า),ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เชียงแสน,เวียง,20.352,100.0815
128,เชียงราย,วัดผ้าขาวป้าน (วัดผ้าขาวพาน),ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เชียงแสน,เวียง,20.2775,100.088
129,เชียงราย,วัดอาทิต้นแก้ว (ร้าง),ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เชียงแสน,เวียง,20.2803,100.0859
130,เชียงราย,วัดเชตวัน หรือวัดกาเผือก หรือวัดพระนอน  (ร้าง),ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เชียงแสน,เวียง,20.2745,100.0854
131,เชียงราย,วัดพระบวช (ร้าง),ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เชียงแสน,เวียง,20.2742,100.0821
132,เชียงราย,วัดกู่เต้า (ร้าง),ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เชียงแสน,โยนก,20.2691,100.0508
133,เชียงราย,วัดหมื่นเชียง (ร้าง),ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เชียงแสน,เวียง,20.2693,100.0859
134,เชียงราย,วัดพระเจ้าล้านทอง,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เชียงแสน,เวียง,20.275,100.084
135,ชัยนาท,วัดมหาธาตุ,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคกลาง,สรรคบุรี,แพรกศรีราชา,15.0497,100.1619
136,เชียงราย,วัดสวัสดี (วัดสัสดีร้าง),ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เชียงแสน,เวียง,20.2684,100.0887
137,เชียงราย,วัดเสาเคียนหรือเขาเคียน (ร้าง),ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เชียงแสน,เวียง,20.2781,100.0842
138,เชียงราย,วัดพระยืน (ร้าง),ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เชียงแสน,เวียง,20.2739,100.0845
139,เชียงราย,วัดป่าสัก,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เชียงแสน,เวียง,20.2743,100.0771
140,ลำปาง,วัดปงสนุก,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองลำปาง,เวียงเหนือ,18.295,99.4972
141,เชียงราย,วัดธาตุเขียว (ร้าง),ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เชียงแสน,เวียง,20.2413,100.1228
142,เชียงราย,วัดร้อยข้อ (ร้าง),ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เชียงแสน,เวียง,20.2778,100.085
143,เชียงราย,วัดธาตุโขง (ร้าง),ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เชียงแสน,เวียง,20.239,100.1254
144,เชียงราย,วัดพวกพันตอง,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เชียงแสน,เวียง,20.2784,100.0854
145,เชียงราย,วัดสังฆาแก้วดอนหัน,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เชียงแสน,เวียง,20.2784,100.088
146,เชียงราย,สบคำ,ประเภทที่ 4,แหล่งโบราณคดีทั้งที่ขุดค้นแล้ว และยังไม่ได้ขุดค้น โบราณวัตถุ,ภาคเหนือ,เชียงแสน,เวียง,20.2503,100.1061
147,เชียงราย,วัดพระธาตุผาเงา,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เชียงแสน,เวียง,20.2453,100.1011
148,เชียงราย,วัดพระธาตุจอมจัน,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เชียงแสน,เวียง,20.2443,100.1057
